FloraStatus,Group,Family,taxon,Acronym,ClChange Justification,Origin,ExoticStatus
Not Noted,Dicotyledons,Aizoaceae,Carpobrotus edulis,CAREDU,"coll. by Wendell Wood, 2014 and P. Zika, 2008; s. OR beach; Zika's collection was spreading from cultivation; Wood's collection was in a 54 by 23 ft. patch.",exotic,recent waif
Not Noted,Dicotyledons,Aizoaceae,Delosperma cooperi,DELCOO,"waif in flower photographed by F. Callahan, Nesika Beach, Curry Co., 2010; vouchers are accessioned.",exotic,recent waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium polyspermum var. acutifolium,CHEPOLACU,"recognized in FNA as the only var. on the West Coast; one collection mapped in FNA, vicinity Portland; to now, this taxon has been recognized as full species, C. polyspermum.",exotic,ballast
Genus Note,Dicotyledons,Amaranthaceae,Amaranthus viridus,AMAVIR,"two Suksdorf colls. from Albina; IDs verified by David Giblin, 2008.",exotic,historic waif
Not Noted,Dicotyledons,Amaranthaceae,Salsola kali ssp. pontica,SALKALPON,,exotic,ballast
Genus Note,Dicotyledons,Amaranthaceae,Dysphania multifida,DYSMUL,"Dysphania is a segregate of Chenopodium, recognized in FN4; this concept was previously recognized by OFP as Chenopodium multifidum.",exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Atriplex hymenelytra,ATRHYM,"known from a single collection at SOC (#16647; M.K. Small #722, Harney Co., 2 June 1950).",exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium subglabrum,CHESUB,"determined by H. Chambers in 2004, we have a collection, OSC #3592, Benton Co., E.R. Lake, 7/20/1888; this is native elsewhere in the west; one coll. at WTU, WTU #331898, Clark Co., WA, 1995).",exotic?,recent waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium strictum var. glaucophyllum,CHESTRGLA,,exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Amaranthus deflexus,AMADEF,,exotic,escaping in cultivated area
Family Note,Dicotyledons,Amaranthaceae,Beta vulgaris,BETVUL,,exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium vulvaria,CHEVUL,"H. Chambers 2000 annotation; also this taxon was an exact match for an accepted name in PLANTS, where it is stated to occur in Oregon as an introduced plant to the U.S.",exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium capitatum var. capitatum,CHECAPCAP,,exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium incanum var. occidentale,CHEINCOCC,see OSC242643 (Otting #3076) where occurring in Malheur Co.; no information describing population/occurrence.,exotic,recent waif
Not Noted,Dicotyledons,Amaranthaceae,Chenopodium incognitum,CHEINC2,recent waif,exotic,recent waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium murale,CHEMUR,,exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Amaranthus hypochondriacus,AMAHYP,This specimen (OSC199895)was identified by R. Halse. He verifies it is a new species to Oregon.,exotic,escaping in cultivated area
Family Note,Dicotyledons,Anacardiaceae,Cotinus coggygria,COTCOG,"one coll. from Hayden Island is a waif; material previously determined as obovatus is also this taxon (see Otting #1118, vicinity Yoncalla).",exotic,escaping in natural areas
Not Noted,Dicotyledons,Apiaceae,Centella erecta,CENERE,"This is an accepted name for Oregon in PLANTS based on North America Flora volume 28B, page 59 http://www.biodiversitylibrary.org/item/91538#page/71/mode/1up  which notes it was on ballast in Oregon, probably based on this specimen: WS120912",exotic,ballast
Family Note,Dicotyledons,Apiaceae,Chaerophyllum temulum,CHATEM,"see OSC199063, Washington Co., White s.n., 2000.",exotic,recent waif
Family Note,Dicotyledons,Apiaceae,Apium graveolens,APIGRA,,exotic,historic waif
Not Noted,Dicotyledons,Apiaceae,Carum carvi,CARCAR,,exotic,escaping in cultivated area
Family Note,Dicotyledons,Apiaceae,Coriandrum sativum,CORSAT,,exotic,historic waif
Family Note,Dicotyledons,Apiaceae,Pimpinella saxifraga,PIMSAX,REB has donated a collection to OSC; known from two populations on BLM land where considered a weed in need of control by BLM in Douglas Co. (several hundred plants present);,exotic,recent waif
Not Noted,Dicotyledons,Apiaceae,Bupleurum odontites,BUPODO,a WS specimen ballast dump collection exists.,exotic,ballast
Family Note,Dicotyledons,Apiaceae,Aegopodium podagraria,AEGPOD,,exotic,recent waif
Not Noted,Dicotyledons,Apiaceae,Torilis henryi,TORHEN,R. Halse notes the FNA treatment for T. scabra synonymizes it with T. henryi.,exotic,historic waif
Not Noted,Dicotyledons,Apiaceae,Cyclospermum leptophyllum,CYCLEP,"this is the accepted name for a waif collected once in Linnton, WS120902.",exotic,historic waif
Genus Note,Dicotyledons,Apiaceae,Heracleum mantegazzianum,HERMAN,,exotic,eradicated
Family Note,Dicotyledons,Apiaceae,Myrrhis odorata,MYRODO,,exotic,escaping in cultivated area
Not Noted,Dicotyledons,Apiaceae,Cnidium monnieri,CNIMON,"this is a ballast waif recognized by PLANTS, the single voucher, WS120921, is under a synonym",exotic,ballast
Not Noted,Dicotyledons,Apocynaceae,Cycladenia humilis var. humilis,CYCHUMHUM,"recent waif; see Callahan #CH-MM-5SPMS, Jackson Co.",exotic,recent waif
Genus Note,Dicotyledons,Apocynaceae,Asclepias solanoana,ASCSOL,"Callahan has collected this in s. Josephine Co.; this was recognized in Scott's old checklist but excluded for lack of a voucher; otherwise known from Trinity Co., CA.",exotic,recent waif
Genus Note,Dicotyledons,Apocynaceae,Apocynum × floribundum,APOFLO,,native,
Genus Note,Dicotyledons,Araliaceae,Hedera colchica,HEDCOL,"known at WTU from two Oregon Curry Co. collections by P. Zika (#19623,  17 May 2004, ""an occasional escape""; #24234, 20 Oct. 2008).",exotic,recent waif
Genus Note,Dicotyledons,Aristolochiaceae,Asarum hartwegii,ASAHAR1,,exotic?,recent waif
Not Noted,Dicotyledons,Aristolochiaceae,Aristolochia macrophylla,ARIMAC,"see SOC #15822 (Small #37, Jackson Co., 17 March 1948, one plant in riparian forest); id confirmed by SCM via photo of specimen.",exotic,historic waif
Genus Note,Dicotyledons,Asteraceae,Carduus crispus,CARCRI2,recent waif; new concept. from Wallowa Co.,exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Helianthus petiolaris,HELPET,,exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Helenium puberulum,HELPUB,,exotic?,historic waif
Genus Note,Dicotyledons,Asteraceae,Centaurea calcitrapa,CENCAL,,exotic,eradicated
Genus Note,Dicotyledons,Asteraceae,Centaurea iberica,CENIBE,,exotic,eradicated
Genus Note,Dicotyledons,Asteraceae,Centaurea × kleinii,CENKLE,"distinct from C. x moncktonii (a parent of x kleinii) although it is very similar to moncktonii and overlaps in distribution with it in the U.S.; although sterile, could become invasive through clonal reproduction (Roche & Susanna 2011).",exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Centaurea nigrescens,CENNIG2,,exotic,historic waif
Not Noted,Dicotyledons,Asteraceae,Centaurea × psammogena,CENPSA,"annotation by David J. Keil, FNA contributor; this name is considered a combination of C. diffusa Lam. × C. stoebe L. ssp. micranthos (Gugler) Hayek.",exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Chamaemelum mixtum,CHAMIX,,exotic,historic waif
Genus Note,Dicotyledons,Asteraceae,Galinsoga parviflora,GALPAR2,,exotic,historic waif
Genus Note,Dicotyledons,Asteraceae,Gaillardia pulchella,GAIPUL,,exotic,escaping in cultivated area
Family Note,Dicotyledons,Asteraceae,Filago pyramidata var. pyramidata,FILPYRPYR,"known from a single WILLU collection, det. by K. Chambers. Our specimen is from Roseburg (Rose s.n. 4 July 1937); according to PLANTS this also occurs in CA and BC",exotic,historic waif
Genus Note,Dicotyledons,Asteraceae,Doronicum plantagineum,DORPLA,,exotic,escaping in natural areas
Not Noted,Dicotyledons,Asteraceae,Thelesperma megapotamicum,THEMEG,,exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Symphyotrichum novae-angliae,SYMNOV,,exotic,historic waif
Genus Note,Dicotyledons,Asteraceae,Senecio viscosus,SENVIS,"see SOC#18970 (MKS #487A, Crane Mtn., Lakeview, Lake Co., June 1936);  det. Callahan 2014.",exotic,historic waif
Not Noted,Dicotyledons,Asteraceae,Rudbeckia hirta var. pulcherrima,RUDHIRPUL,,exotic,historic waif
Genus Note,Dicotyledons,Asteraceae,Ambrosia grayi,AMBGRA,"collected in 2008 on private land in Deschutes Co.; identified by specialist, John Strother; R. Halse received several individuals via Extension Service; our collection 5 ft. tall, peren., rhiz.; R. Halse requested that the owner eradicate the population.",exotic,eradicated
Genus Note,Dicotyledons,Asteraceae,Ambrosia trifida,AMBTRI,,exotic,escaping in cultivated area
Genus Note,Dicotyledons,Asteraceae,Petasites japonicus,PETJAP,"Dominic Maze, invasive species coordinator/biologist for City of Portland Environmental Services has noted 6 populations around Portland; will deposit vouchers.",exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Petasites fragrans,PETFRA,,exotic,escaping in natural areas
Genus Note,Dicotyledons,Asteraceae,Onopordum tauricum,ONOTAU,"a new exotic introduction; specimen (B. Barrett s.n. 7/11/2007, Klamath Co.); according to PLANTS known as a noxious weed in CA and occurs adjacent OR.",exotic,recent waif
Not Noted,Dicotyledons,Asteraceae,Oncosiphon suffruticosum,ONCSUF,"not treated in Flora, but this is the FNA and more recognized name.",exotic,ballast
Not Noted,Dicotyledons,Asteraceae,Arctotheca calendula,ARCCAL2,"Wendell Wood (2011, Curry Co.) has made a collection which he will donate. The populations (2 nearby one another) cover about a 20x20 sq. ft. area.",exotic,recent waif
Family Note,Dicotyledons,Asteraceae,Lygodesmia juncea,LYGJUN,,exotic,historic waif
Not Noted,Dicotyledons,Asteraceae,Achillea filipendulina,ACHFIL,"known from a single collection at OSU (OSC#238415, Halse #8649, Douglas Co., several plants seen along a stretch of the road).",exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Artemisia abrotanum,ARTABR,,exotic,historic waif
Family Note,Dicotyledons,Asteraceae,Leucanthemum × superbum,LEUSUP,"see Halse #9216, Coos Co.",exotic,recent waif
Family Note,Dicotyledons,Asteraceae,Leucanthemum maximum,LEUMAX,,exotic,historic waif
Not Noted,Dicotyledons,Asteraceae,Acanthospermum hispidum,ACAHIS,"S. Sundberg noted that a specimen may exist at WTU, but it is not in their completed database; ask WTU curator to find the specimen, if it exists.",exotic,historic waif
Not Noted,Dicotyledons,Asteraceae,Leontodon autumnalis var. pratensis,LEOAUTPRA,Suksdorf collection confirmed by Giblin at WTU.,exotic,historic waif
Not Noted,Dicotyledons,Asteraceae,Baccharis salicifolia ssp. salicifolia,BACSALSAL,bare terminal species addition for a waif under the autonym.,exotic,recent waif
Not Noted,Dicotyledons,Asteraceae,Balsamorhiza lanata,BALLAN,"at BLMM, specimen consists of pictures and a location;. We have searched the area thoroughly, several times with our best contractors, and into the surrounding sections as well with no hits. I don't believe its a valid site (Mousseaux 2010 pers. comm.).",exotic?,recent waif
Genus Note,Dicotyledons,Asteraceae,Balsamorhiza × terebinthacea,BALTER,,native,
Genus Note,Dicotyledons,Asteraceae,Balsamorhiza × tomentosa,BALTOM,,native,
Genus Note,Dicotyledons,Asteraceae,Layia septentrionalis,LAYSEP,Specimen was collected in Lake Co. CA. It was mistakenly entered as Lake Co. OR. It has been fixed.,exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Layia platyglossa,LAYPLA,"see SOC#18949 (Ireta Kirhofer s.n., Josephine Co., SE of Sexton Mtn., 5 May 1956); det. Callahan 2014.",exotic?,historic waif
Not Noted,Dicotyledons,Asteraceae,Achillea ptarmica,ACHPTA,"waif collection by Jeff Lesh, 4 Sept. 2015, Clackamas Co.",exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Layia fremontii,LAYFRE,"known from a single OR collection (OSC#237864, Callahan #LAFRPCF-1, 13 May 2012, Jackson Co.).",exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Layia chrysanthemoides,LAYCHR,"G. Carr photographed this species in Benton Co. near Wren in 2010; waiting for a voucher to add this to the checklist; FN21-265 notes CA occurrence only, where it is native in the central basin and adjacent coast north to Trinity Co., CA.",exotic,escaping in cultivated area
Genus Note,Dicotyledons,Asteraceae,Layia carnosa,LAYCAR,known from two Oregon collections. One in  and one from southern OR (F. Callahan).,exotic?,recent waif
Not Noted,Dicotyledons,Asteraceae,Lapsanastrum apogonoides,LAPAPO,,exotic,historic waif
Genus Note,Dicotyledons,Asteraceae,Lactuca ludoviciana,LACLUD,,exotic,historic waif
Genus Note,Dicotyledons,Asteraceae,Lactuca canadensis,LACCAN,,exotic,historic waif
Not Noted,Dicotyledons,Asteraceae,Jacobaea maritima,JACMAR,genus transfer from Senecio cineraria.,exotic,recent waif
Not Noted,Dicotyledons,Asteraceae,Hieracium sabaudum,HIESAB,"known from Mt. Hood NF; establishing and spreading along roadsides (Lesh #379, 17 Aug 2017).",exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Hieracium piloselloides,HIEPIL2,,exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Helianthus tuberosus,HELTUB,,exotic,escaping in cultivated area
Family Note,Dicotyledons,Asteraceae,Filago vulgaris,FILVUL,,exotic,historic waif
Genus Note,Dicotyledons,Asteraceae,Cirsium ochrocentrum var. ochrocentrum,CIROCHOCH,K. Chambers (our Cirsium contributor) has annotated a Malheur Co. collection as C. ochrocentrum; FN19-123 recognizes 2 vars. in N. America; ours would be the var. ochrocentrum.,exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Euthamia graminifolia,EUTGRA,"based on the primarily Eastern US distribution (in FNA), the Oregon record seems very unlikely (TJC); very similar to our E. occidentalis; We should maintain the geographical ""taxonomy"" of this genus and recognize our materials as E. occidentalis (KLC).",exotic,weed  of cranberry bogs
Genus Note,Dicotyledons,Asteraceae,Coreopsis rosea,CORROS,collected from a reproducing population on Sauvie Island.,exotic,recent waif
,Dicotyledons,Asteraceae,Erigeron karvinskianus,ERIKAR,"naturalized in central and southern California, this species has been found at a single location in s. coastal Oregon, along hwy 101 near Brookings (Zika).",exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Cotula mexicana,COTMEX,"determination by K. Chambers to OSC#223011 (Morrow Co., invader of greens in a golf course) to previously determined C. australis; also noted by PLANTS as occurring in CA.",exotic,recent waif
Genus Note,Dicotyledons,Asteraceae,Crepis tectorum,CRETEC,,exotic,historic waif
Genus Note,Dicotyledons,Berberidaceae,Berberis julianae,BERJUL,the species is introduced from China and reported as established in Willow Creek Preserve by R. Love; not inspected by genus contributor.,exotic,recent waif
Genus Note,Dicotyledons,Berberidaceae,Berberis vulgaris,BERVUL,"Otting #1215, from a ""roadside fillslope"" in the Blue Mts.; only one plant, miles from human habitation; did not appear to be spreading; did not appear to be planted.",exotic,recent waif
,Dicotyledons,Betulaceae,Betula × utahensis,BETUTA,historic waif,exotic,historic waif
Genus Note,Dicotyledons,Betulaceae,Alnus glutinosa,ALNGLU,"Brainerd has a collection from a single plant on Sauvie Island; there's also a collection by Sundberg (#4194, Clatsop Co., 1997, tree, 10m high).",exotic,recent waif
Not Noted,Dicotyledons,Boraginaceae,Hackelia mundula,HACMUN,"see SOC#022052, Duncan #2016, Jackson Co., 7/7/2001, 5400 ft. alt.; although heritage lists this as a 3 (is that S3?), we are calling this a waif; this is mainly in central eastern CA.",exotic,recent waif
Genus Note,Dicotyledons,Boraginaceae,Myosotis sylvatica,MYOSYL,there are several collections at WTU although none at OSU; Feuillet has also observed the species growing in OR in the wild. Collections are needed.,exotic,recent waif
Genus Note,Dicotyledons,Boraginaceae,Anchusa capensis,ANCCAP,"an unaccessioned GH specimen from the 1930's, found growing in a sidewalk crack in Salem.",exotic,escaping in cultivated area
Genus Note,Dicotyledons,Boraginaceae,Echium candicans,ECHCAN,"collection by Wendell Wood, 16 April 2015; Curry Co. at least 2 large bushes.",exotic,recent waif
Genus Note,Dicotyledons,Boraginaceae,Echium vulgare,ECHVUL,,exotic,historic waif
Genus Note,Dicotyledons,Boraginaceae,Hackelia bella,HACBEL,"known from a single collection in Jackson Co. (S. Burke, s.n. 2017). Appears to be an extension of the range from California.",native,
Genus Note,Dicotyledons,Brassicaceae,Lepidium ruderale,LEPRUD,"voucher at WS (Suksdorf # 1934, in Linnton, ballast, 7/12/1912).",exotic,ballast
Not Noted,Dicotyledons,Brassicaceae,Armoracia rusticana,ARMRUS,"there are several observations in the Invaders database; A. Liston thinks it belongs to a group of ""potentially naturalized"" taxa; someone should collect this.",exotic,recent waif
Genus Note,Dicotyledons,Brassicaceae,Brassica elongata,BRAELO,FNA notes a ballast collection at Linnton; this may be Suksdorf #1747 (WS).,exotic,historic waif
Not Noted,Dicotyledons,Brassicaceae,Cardamine flexuosa,CARFLE,introduced plant in the U.S. Recently collected where weedy at two sites in NW Oregon; nomenclature fide Stace 1997.,exotic,recent waif
Genus Note,Dicotyledons,Brassicaceae,Diplotaxis muralis,DIPMUR,,exotic,ballast
Genus Note,Dicotyledons,Brassicaceae,Lepidium graminifolium,LEPGRA,,exotic,ballast
Not Noted,Dicotyledons,Brassicaceae,Lepidium pinnatifidum,LEPPIN2,"known from a single collection, verified by I. Al-Shehbaz: Russell Pengelly on 3 June 1957 from Klamath Falls airport.",exotic,historic waif
Not Noted,Dicotyledons,Brassicaceae,Matthiola incana,MATINC,see e-mail from R. Halse to TJC 10/1/2008; Richard collected this escaped ornamental in Clatsop Co; ca. 12 individuals in fruit; on cliffs along ocean in crevices; already has been found as an escape in CA and BC.,exotic,recent waif
Genus Note,Dicotyledons,Brassicaceae,Nasturtium × sterile,NASSTE,this is reprented at OSU by two 1916 specimens collected by H. Gilbert (Mary's Peak and Corvallis) annotated recently to this by Al-Shehbaz.,exotic,historic waif
Not Noted,Dicotyledons,Brassicaceae,Neslia paniculata,NESPAN,"Oregon occurrence based on a single Linnton collection by Suksdorf, WS139768.",exotic,ballast
Not Noted,Dicotyledons,Brassicaceae,Rapistrum rugosum,RAPRUG,,exotic,ballast
Genus Note,Dicotyledons,Brassicaceae,Rorippa indica,RORIND,"annotated by Al-Shehbaz, a ballast dump collection.",exotic,ballast
Not Noted,Dicotyledons,Brassicaceae,Sisymbrium orientale,SISORI,"reported in Invaders, the source is an OSC, 1974 Lane Co. collection by George Van Schaack; this specimen has been re-annotated to Barbarea verna; however, draft FN treatment shows occurrence for Oregon; watch for this.",exotic,ballast
Not Noted,Dicotyledons,Cactaceae,Opuntia humifusa,OPUHUM,"known from a single OR collection by B. Wilson (Douglas Co., #15736, 7/17/2009); spreading along roadside 30 yards away  from original material; 7 large clumps and 3 small ones.",exotic,recent waif
Not Noted,Dicotyledons,Calycanthaceae,Calycanthus occidentalis,CALOCC2,"this species is known from California, this is the first report of its occurrence in Oregon (OSC #215505), Callahan s.n., Jackson Co., 2005; ""Single shrub, 1+ meter tall, numerous blooms.""",exotic?,recent waif
Not Noted,Dicotyledons,Caprifoliaceae,Lonicera subspicata var. denudata,LONSUBDEN,"SOC specimen; Marcia Wineteer, s.n., 8 July 1997, Jackson Co.",exotic,recent waif
Not Noted,Dicotyledons,Caprifoliaceae,Lonicera japonica,LONJAP,"see Zika # 25599, Lane Co., Skinner Butte, 13 July 2011.",exotic,recent waif
Not Noted,Dicotyledons,Caprifoliaceae,Lonicera maackii,LONMAA,"OSC #207874 (Zika #19581; 2004); escaping; label reads ""2m tall adventive shrub, ...dense blackberry thicket...Irving Road near Shirley Street...Eugene""; specimen in flower.",exotic,escaping in natural areas
Genus Note,Dicotyledons,Caryophyllaceae,Silene pendula,SILPEN,"according to Nelson (1920), species #24,  ""in an abandoned garden, Salem""; according to this article there is a voucher at GH; located and confirmed by R. Halse: GH#307186 (Nelson #4865, vacant lot on Marion St., Salem, May 27, 1923).",exotic,historic waif
Genus Note,Dicotyledons,Caryophyllaceae,Gypsophila pilosa,GYPPIL,"WTU specimen previously identified as G. scorzonerifolia has now been annotated to G. pilosa by Rabeler (2010). The collection is by Suksdorf, 1912, in Linnton.",exotic,historic waif
Genus Note,Dicotyledons,Caryophyllaceae,Paronychia franciscana,PARFRA,,exotic,historic waif
Not Noted,Dicotyledons,Caryophyllaceae,Myosoton aquaticum,MYOAQU,,exotic,ballast
Genus Note,Dicotyledons,Caryophyllaceae,Sagina alexandrae,SAGALE,"This is a nom. nov. for Sagina subulata (Sw.) C. Presl, which is a later homonym of Sagina subulata d'Urv (a concept not represented in Oregon).",exotic,historic waif
Genus Note,Dicotyledons,Caryophyllaceae,Sagina japonica,SAGJAP,,exotic,historic waif
Genus Note,Dicotyledons,Caryophyllaceae,Arenaria montana,AREMON,"annotation by Rabeler, Hartman to OSC#150814, Strickland #25-77 (Washington Co., 17 May 1977 where found in a deserted lot).",exotic,historic waif
Genus Note,Dicotyledons,Caryophyllaceae,Silene dichotoma,SILDIC,,exotic,historic waif
Genus Note,Dicotyledons,Caryophyllaceae,Spergularia bocconi,SPEBOC2,"spelling commemorates Paolo Boccone, suggesting that -bocconei- might be a better spelling; however, he often went by the latinized spelling Bocconus, which best translates to an epithet as bocconi.",exotic,historic waif
Genus Note,Dicotyledons,Caryophyllaceae,Spergularia media var. media,SPEMEDMED,JPM2 treatment authors will also treat Spergularia for OR; we will align with JPM2 for this reason.,exotic,ballast
Genus Note,Dicotyledons,Caryophyllaceae,Spergularia villosa,SPEVIL,,exotic,historic waif
Genus Note,Dicotyledons,Celastraceae,Euonymus europaeus,EUOEUR,B. Newhouse has made a Lane Co. coll. and is sending it to us.,exotic,recent waif
,Dicotyledons,Celastraceae,Euonymus fortunei,EUOFOR,"known from a single Multnomah County collection by D. Maze (#399, 2016).",exotic,recent waif
Genus Note,Dicotyledons,Convolvulaceae,Calystegia sepium ssp. erratica,CALSEPERR,"Brummitt (1980) cites an Oregon specimen (Marion Co., in plowed field east of State Prison, Salem, Aug. 22, 1920, Nelson s.n. (GH, PH); this plowed field is the only evidence for inclusion; not a wild land; native to eastern N. America.",exotic,historic waif
Not Noted,Dicotyledons,Cornaceae,Cornus obliqua,COROBL,"Alverson has collected material from a single naturally occurring plant along the Willamette River (#2014-029, Lane Co., 21 June 2014).",exotic,recent waif
Genus Note,Dicotyledons,Cornaceae,Cornus sessilis,CORSES,"known from a single collection (OSC # 237886, Callahan #CS-HG-1, Jackson Co., 22 March 2008).",exotic?,recent waif
Not Noted,Dicotyledons,Crassulaceae,Sedum thartii,SEDTHA,"a collection, formerly our only voucher for S. rupestre, has been re-identified as S. thartii (OSC#233576, Zika, 13 July 2011, Lane Co.) reportedly persisting in an abandoned yard for 30 years).",exotic,garden relic
Not Noted,Dicotyledons,Crassulaceae,Sedum acre,SEDACR,"based on WS collection by Suksdorf (s.n.), Linnton (a waif) 7/12/1912, confirmed.",exotic,historic waif
Genus Note,Dicotyledons,Crassulaceae,Phedimus spurius,PHESPU,"known from 4 old OR collections at OSU (Garland Nursery, Corvallis; Bend; Portland), collected between 1934 and 1958.",exotic,historic waif
,Dicotyledons,Cucurbitaceae,Marah fabacea,MARFAB,"a single collection from Jackson Co., det. Callahan 2016.",exotic?,recent waif
Not Noted,Dicotyledons,Cucurbitaceae,Echinocystis lobata,ECHLOB,an E. OR specimen is being prepared.,exotic,recent waif
Not Noted,Dicotyledons,Cucurbitaceae,Cucumis anguria,CUCANG,"this appears to be a waif, based on this single specimen WS106710, Gorman in 1918.",exotic,historic waif
,Dicotyledons,Cucurbitaceae,Marah watsonii,MARWAT,"known from a single collection found together with another Marah new to Oregon, M. fabacea. Jackson Co., det. Callahan 2016.",exotic?,recent waif
Genus Note,Dicotyledons,Dipsacaceae,Dipsacus laciniatus,DIPLAC,"see OSC198363 (Hellinga s.n., Jackson Co., 7/18/2001),  identified by R. Halse and also confirmed by S. Meyers.",exotic,recent waif
Genus Note,Dicotyledons,Dipsacaceae,Knautia arvensis,KNAARV,,exotic,historic waif
Genus Note,Dicotyledons,Droseraceae,Drosera × obovata,DROOBO,"this taxon is a sterile hybrid between D. rotundifolia and D. anglica. I tempted to throw out this name and annotate the specimen as a hybrid between the parental species, but K. Chambers collected and labeled this specimen and thinks the name is good.",native,
Not Noted,Dicotyledons,Elaeagnaceae,Elaeagnus commutata,ELACOM,"collection at OSU; a waif; native to Utah; see NY849221 (Griffiths #427, August 1901).",exotic,historic waif
,Dicotyledons,Ericaceae,Phyllodoce breweri,PHYBRE,see SOC18830; specimen confirmed by S. Meyers and J. Duncan.,exotic,historic waif
Genus Note,Dicotyledons,Ericaceae,Phyllodoce × intermedia,PHYINT,,native,
Genus Note,Dicotyledons,Ericaceae,Vaccinium corymbosum,VACCOR,"OSC207883 (Zika 18271; Lane Co., 2003); naturalized at Willow Creek Preserve; native to E US; label reads - 2 m tall adventive shrubs, several seen, damp thickets, shrub and tree-invaded wet prairie remnant-.",exotic,recent waif
Genus Note,Dicotyledons,Ericaceae,Arctostaphylos × oblongifolia,ARCOBL,the earliest name whose type represents good hybrid (cinerea x viscida) material is A. x oblongifolia; the type for A x cinerea has been re-examined by K. Chambers and determined to be a specimen of A. canescens.,native,
Not Noted,Dicotyledons,Ericaceae,Arctostaphylos mewukka ssp. mewukka,ARCMEWMEW,"see Callahan, #Am-2-1977, Sept. 1977, Josephine Co. (accessioning pending)",exotic,historic waif
Genus Note,Dicotyledons,Ericaceae,Erica carnea,ERICAR2,"see Sundberg #3756 (Clatsop County, 5/19/1997, ""open Pinus contorta stand"").",exotic,recent waif
